"Data Source","World Development Indicators",

"Last Updated Date","2025-07-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Congo, Dem. Rep.","COD","Intentional homicides, male (per 100,000 male)","VC.IHR.PSRC.MA.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Congo, Dem. Rep.","COD","Battle-related deaths (number of people)","VC.BTL.DETH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","1371","4599","3431","3282","1473","501","100","","","34","177","632","767","1961","300","324","804","1532","993","197","794","3632","817","764","1199","1020","1723","667","",
"Congo, Dem. Rep.","COD","Voice and Accountability: Percentile Rank","VA.PER.RNK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.5","","3.48258709907532","","2.98507452011108","","5.97014904022217","6.46766185760498","3.8461537361145","6.73076915740967","12.5","12.5","9.61538505554199","8.53080558776855","9.47867298126221","7.51173686981201","7.0422534942627","8.45070457458496","12.3152713775635","12.3152713775635","9.35960578918457","8.3743839263916","7.76699018478394","13.043478012085","14.9758453369141","16.9082126617432","16.9082126617432","15.6862745285034","",
"Congo, Dem. Rep.","COD","Transport services (% of commercial service exports)","TX.VAL.TRAN.ZS.WT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.78533231474408","1.23400365630713","8.60639557836558","8.20763087843833","10.0344695518958","30.5020632737276","35.1011649294911","40.6264021706953","55.084873672127","56.3755572028694","79.7018169789808","75.5194316124582","58.3501656138864","20.7758490318878","16.1404968294711","20.441412397951","13.8733518556633","28.904250971334","86.9506695691472","",
"Congo, Dem. Rep.","COD","Computer, communications and other services (% of commercial service exports)","TX.VAL.OTHR.ZS.WT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","74.1787624140565","79.7531992687386","74.6545598105014","76.5749778172138","68.1922635005745","50.3094910591472","44.4206008583691","43.0340841708606","32.8906528514243","21.0730208914695","15.4478714462509","14.8678477689786","24.0790866777817","8.51715797293812","3.6516383732905","7.20157406363491","6.3772120869873","7.6066456553541","9.94883843539499","",
"Congo, Dem. Rep.","COD","Merchandise exports by the reporting economy, residual (% of total merchandise exports)","TX.VAL.MRCH.RS.ZS","","","","0","0","0","0","0","0","0","0","","5.31330404487347E-15","0","0","0","0","0","0","0","0","0","0","3.68344102798827E-14","-6.33506993763663E-14","8.07619419672162E-14","1.01289006652543E-13","-6.13081437488623E-14","-8.21490192033083E-14","2.2645533002454E-14","-1.52081414327962E-14","-2.64994103349778E-14","3.82594961205607E-14","-4.19303092994389E-14","7.1825835553194E-14","6.44303652654082E-14","-1.63677564991829E-14","-4.71904410863672E-13","-1.10884894416478E-13","1.70456117371183E-16","0","0","0","0","-8.93878206494541E-15","0","0","0","1.12619097673616E-14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9.26196845750074E-06","",
"Congo, Dem. Rep.","COD","Merchandise exports to low- and middle-income economies in Latin America & the Caribbean (% of total merchandise exports)","TX.VAL.MRCH.R3.ZS","","","","0.0858000858000858","","0.210822206605762","","","","0.0256871307474955","","","","","0.317777374250953","4.82625482625483","0.289121792555114","0.0770712909441233","","","","","","","","","","","","0.526444784884942","0.329247518712103","0.0505635155397205","0.0698211584759645","0.0721229987617609","1.11943793034057","0.394800639386081","0.635688657440784","0.147321135958635","0.192631404606405","0.0278253386637675","0.00227649865941618","0.00282301218554704","0.00236925845449865","0.00264843526026388","0.00315168742116114","0.00217682801854178","0.00374665987156321","0.00249442733199798","0.00203057571647179","0.00177450444665448","0.00117327883564432","0.00104065056664216","0.00190591241908727","0.00178491030661705","0.00117498124237589","0.00358137619942624","","0.000170717192885816","0.00214458217668548","0.00450611371361496","0.00148184480108922","0.00251864563854381","0.00497825143562877","0.00289917646147455","",
"Congo, Dem. Rep.","COD","Merchandise exports to high-income economies (% of total merchandise exports)","TX.VAL.MRCH.HI.ZS","","","","83.955383955384","90.5977584059776","90.3021784961349","91.5540540540541","96.4037122969838","97.752808988764","61.5206781402517","58.8878326996198","","52.6475307541451","45.0456323337679","49.5914290902488","88.2963320463321","97.9400072280448","95.1059730250482","97.9650519796505","98.2042648709315","97.0323441147049","92.5465838509317","93.169261677549","93.1692616775489","93.169261677549","93.1692616775489","93.1692616775489","93.169261677549","93.169261677549","89.6693503805688","78.8541479993103","88.6491544912222","90.0562312800938","79.6016321904422","76.3001989713049","82.1061093841849","76.7131222897748","87.509136358208","96.7561182383241","98.3440060490416","12.6490153159642","13.0152899546676","12.711206204802","12.8982877029438","13.2356505890864","12.5821798854078","13.6343996971432","12.7950728606511","12.4841982778152","12.3125233879476","11.9095822018005","11.8206646465878","12.400629618735","12.3195317243486","11.9107062725823","12.8060644762288","33.3451179109684","33.362990703453","22.6279655035092","21.7069651449923","18.2738235709807","21.5599537536401","26.5543366075043","19.7639833451614","",
"Congo, Dem. Rep.","COD","Manufactures exports (% of merchandise exports)","TX.VAL.MANF.ZS.UN","","","18.2717683836382","","","8.12940031302968","","","","","6.80590336159234","","6.81268747039884","6.65561085096821","4.13358950658093","6.62592954044914","3.3273572563057","4.15078721284148","4.84760077288327","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28.0027171806542","25.0977444715093","42.3712998486789","53.5450109823404","31.057179681629","24.366353488662","27.9149604310935","15.6252575555407","17.9481214846049","",
"Congo, Dem. Rep.","COD","Food exports (% of merchandise exports)","TX.VAL.FOOD.ZS.UN","","","95.1525948346835","","","15.5087476664156","","","","","11.9843894162488","","14.0396407088297","13.6652346206034","11.987549653092","17.7083395387182","25.6668144733184","27.9023146639881","32.5093034733134","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.681263368468623","0.927573170391869","0.59710088348942","0.398113187322957","0.710676097418688","0.842969259733662","0.609393792864208","0.749164680465985","0.631252576879563","",
